#,Title,JPja,USen
1,"""0000""",長すぎる眠りに…,I've been sleeping.
142,Npc_ZoraB001_R_003,"言葉を慎め ムズリ！
リンクは オレが頼んで里に来てもらったのだ！
この大雨の中頼れるのは ハイリア人しかいない
この前 みなで決めたではないか！","Muzu! It is rude to speak that way to
your king and his guest. Link is here
because I invited him!
With such unprecedented rainfall,
we have no choice but to rely on
the aid of a trustworthy Hylian.
Have we not already discussed this and
arrived at that very conclusion?"
143,Npc_ZoraB001_R_004,"彼なら オレ達に力を貸し
この里を救ってくれるにちがいないゾ！","He is the key to saving Zora's Domain.
I have no doubt in my mind."
144,Npc_ZoraB001_R_005,"もう言わなくてもわかると思うが リンク…電気の矢で カラクリを起動させてくれ！もちろん オレがサポートする
一緒にルッタを止めてくれないか！","Link, I am certain you have already
figured this out, but...We need you to use shock arrows to
get those orbs working properly again!I will aid you in any way I can, of course.
Please, hero... I beg of you. Help me
stop Ruta's rampage of destruction!"
145,Npc_ZoraB001_R_006,"父上！
ここで姉上のことは…
リンクも混乱していますゾ","Father... I do not believe discussing my
sister is helping matters at the moment.
Link seems confused."
146,Npc_ZoraB001_R_007,"リンク！ ムズリは オレが説得するから
ちょっと待っていてくれ！","Link! Do not let his words concern you.
I will work this out with Muzu.
I shall return shortly!"
147,Npc_ZoraB001_R_008,"言葉を慎め ムズリ！このタイミングで里を訪れたハイリア人！
オレは運命的なものを彼に感じる","Muzu! How dare you speak so rudely
to your king and his guest!This Hylian has come to us in our most
dire hour of need. That our paths have
crossed is certainly the work of fate."
148,Npc_ZoraB001_R_010,"ハイリア人の英傑？
リンクが あの英傑その人なのか？！
そうだ たしかにそう聞いた覚えが！
これは驚くべき出来事かもしれないゾ！","The Hylian Champion? You can't mean
THE Link? THAT Champion?!

So that's where I have heard your name
before! What a fateful coincidence that
we should cross paths!"
149,Npc_ZoraB001_R_011,"もう言わなくてもわかると思うが リンク…電気の矢で カラクリを起動させてくれ！もちろん オレがサポートする
一緒にルッタを止めてくれないか！
ルッタの水の勢いが弱まれば
内部に乗り込む事も可能なはずだ！","Link, I am certain you have already
figured this out, but...We need you to use shock arrows to
get those orbs working properly again!I will aid you in any way I can, of course.
Please, hero... I beg of you. Help me
stop Ruta's rampage of destruction!
What's more, if we are able to stop Ruta,
you should be able to get inside of it!"
150,Npc_ZoraB001_R_012,リンクにも そんな目的があったのだな…,"I did not know you had such grand
ambitions, Link..."
151,Npc_ZoraB001_R_013,よし！ オレも協力するゾ！,"Wondrous! Naturally, I shall help too!"
152,Npc_ZoraB001_R_014,"暴走が止まれば""乗り込む事も出来る
リンク！一緒にルッタを鎮めよう！","Once it has stopped rampaging, you can
easily climb inside it. Come, Link!
Let us appease Ruta together!"
153,Npc_ZoraB001_R_F001,"おおッ！
君はハイリア人ではないか！
最高だッ！！なんという良いタイミングに
来てくれたのだ！","Oh! You are a Hylian, are you not?!


This is perfect!What excellent timing for you to
show up!"
154,Npc_ZoraB001_R_F002,"さあさあ父上と話してくれ！
頼みたい事があるのだ！","Come, friend, and speak with our king!
He has something important he wishes
to ask of you!"
155,Npc_ZoraB001_S1_002,"ムズリよ聞いてくれ
お前に黙っていたことがある
本人を前にして言うのも何だが リンクこそ
ミファー姉さんの想い人だったのだゾ
オレはその頃 まだ小さかったから
分からなかったのだが
父上からは何度も姉上がリンクのことを
想っていたという話を聞かされてきた","Listen well, Muzu. There is something
you need to know.

He who stands here...the man called
Link...is the one whom my sister,
Mipha, had feelings for.
I was only a child then, so I did not know
it myself at the time. But it is so.

I grew up hearing my father tell stories,
some of which were about my sister's
undying love for a Hylian named Link."
156,Npc_ZoraB001_S1_003,そうかッ！獣人 ライネルか！,"Aha!You must mean that Lynel!
He is a man-beast, that one!"
157,Npc_ZoraB001_S1_004,うむ よく聞いてくれ,OK... Listen carefully.
158,Npc_ZoraB001_S1_005,"電気の矢が20本以上集まったら
東の貯水湖で待機するオレの所に来るんだ！","When you have gathered at least 20
shock arrows, come join me at
East Reservoir Lake. I'll be waiting!"
159,Npc_ZoraB001_S1_007,"なにを言うんだ ムズリ！
大丈夫に決まってる！！","Why do you still doubt him, Muzu?
I have no doubt he will be triumphant!"
160,Npc_ZoraB001_S1_009,"よし…！
協力して神獣に挑むゾ！","Wonderful! Together we shall stop that
Divine Beast's onslaught!"
161,Npc_ZoraB001_S1_010,"本当だ ムズリ
お前は知らんだろうが…","It is the truth, Muzu. Though you never
knew it, he was ever in Mipha's heart."
162,Npc_ZoraB001_S1_011,"これで わかっただろう？姉上の想い人が誰だったのか
誰の為に この鎧を作ったのか…！
この鎧が リンクにピッタリなのが
何よりの証拠だゾ！","Now you understand, do you not?Now you know who her heart
belonged to and who she made
this special armor for.
The fact that this armor fits Link perfectly
should be proof enough that Mipha made
it for him and him alone!"
163,Npc_ZoraB001_S1_012,"なんと強情なヤツだ…
だが証拠ならあるゾ！
リンク！さっき父上が渡したゾーラの鎧を
ムズリに見せてやるんだ！","The stubborn fool. Lucky for us,
we have proof!

Link! Go ahead and show Muzu the
Zora armor my father gave you!"
164,Npc_ZoraB001_S1_013,"どうした リンク？
大丈夫か？","What is the matter, Link?
Are you unwell?"
165,Npc_ZoraB001_S1_014,"ムズリ！
リンクの着ている服を よく見るんだゾ！","Muzu! Look closely at the clothes
Link is wearing!"
166,Npc_ZoraB001_S1_015,"昔から ハイリア人嫌いだったお前には言うなと
ミファー姉さんが口止めしていたそうだゾ","You have always disliked Hylians,
even before the Great Calamity.
That is why Mipha never told you."
167,Npc_ZoraB001_S1_016,"さあ協力する約束だぞ ムズリ
電気の矢は どうやったらたくさん手に入る？
おまえの事だ もう調べてあるのだろう？","Now that you know, you must promise
to help him save us all, Muzu.

Please... Tell us where we can find the
shock arrows we need. Knowing you,
I bet you have already figured it out."
168,Npc_ZoraB001_S1_017,"アイツは電気の矢を使う魔物！
ヤツから電気の矢を奪う という事だな？
凶暴だが リンクなら なんとかなるだろう","That beast does indeed wield
shock arrows. That is certainly
one way to collect them quickly.
He is vicious, to be sure. But I am certain
Link will rise to the challenge."
169,Npc_ZoraB001_S1_018,"よし リンク早速行動開始だゾ
雷獣山には里の東の滝を登るのが近道だ！
早速 そのゾーラの鎧が役立つゾ
滝壺まで泳いで行って一気に滝登りだ！
オレは神獣のいる東の貯水湖で待機する
電気の矢が20本以上集まったら来てくれ！","OK, Link. Let's get moving. The fastest
way to Ploymus Mountain is to ascend
the waterfall east of the domain!
That Zora armor should come in handy.
Just swim to the waterfall basin, and then
go up the waterfall from there!
I'll wait at East Reservoir Lake, right by
the Divine Beast. Gather at least 20
shock arrows, and then come join me!"
170,Npc_ZoraB001_S1_020,"…！さすがだな リンク！
電気の矢を すでに持っていたか
ならば雷獣山に行くのは
電気の矢が足りなくなったらで いいって事だな","Hm?Well, well! What have we here?
It seems you already have some
shock arrows!
Still, if you need any more, you can
always go to Ploymus Mountain
to restock!"
171,Npc_ZoraB001_S1_021,"ならば リンク…
オレは神獣のいる東の貯水湖で待機するゾ！
準備が出来たら東の貯水湖に来てくれ！","Link... I'll be waiting for you at
East Reservoir Lake, right by the
Divine Beast.
When you are ready, come join me there!"
172,Npc_ZoraB001_S1_022,"電気の矢が足りなくなったら 
雷獣山のことを思い出してくれ！
だが今は準備万端…！
東の貯水湖で待機するオレの所に来るんだ！","If you run out of shock arrows,
remember Ploymus Mountain!

But it looks like you're all set for now.
Come join me at East Reservoir Lake!"
173,Npc_ZoraB001_S1_024,"なんと強情なヤツ…
だが証拠ならあるゾ！
さっき父上が渡そうとしていたゾーラの鎧を
ムズリに見せてやるんだ！","The stubborn fool. Lucky for us,
we have proof!

Show Muzu the Zora armor my father
gifted you with!"
174,Npc_ZoraB001_S1_027,"おまえは まだ気が付かないのか…
リンクが着ているものを良く見てみろ！","Have you truly not figured it out yet?
Simply take a closer look at what Link
is wearing!"
175,Npc_ZoraB001_S1_Near,ムズリ…聞いてくれ,Muzu... Please listen...
176,Npc_ZoraB001_S2_001,"おお来たなリンク！
待ちわびていたゾ！","Glad to see you're ready to go, Link!"
177,Npc_ZoraB001_S2_002,"グーッ ジョブだ！さすがはリンク！
さあ水の神獣を鎮めに行くゾ！
それっ！！","Wonderful!You never cease to amaze, Link!
Now then, let us go and appease
that Divine Beast as one!
Here we go!!"
178,Npc_ZoraB001_S2_003,水の神獣の背中を見てくれ！,Gaze now upon the Divine Beast's back!
179,Npc_ZoraB001_S2_004,"ピンクに光る装置が見えるだろう？！
あれを電気の矢で射るんだゾ！
キミにはゾーラの鎧に宿る滝登りの力がある！オレがキミを神獣のそばまで連れて行く
そこの滝から飛んで狙うんだゾ！","Do you see those glowing, pink orbs?
You will need to shoot each of them with
a shock arrow!
With your Zora armor, you now have the
ability to ascend waterfalls!So I shall take you right up to the side of
the Divine Beast, and from there you can
swim up and take aim!"
180,Npc_ZoraB001_S2_005,"なんと！ まだなのか！
それは良くないゾ！","What? Not yet?! That is not a good sign,
my friend!"
181,Npc_ZoraB001_S2_006,"ゾーラの鎧と電気の矢の
準備はできたか？","Are you ready for this? Do you have your
Zora armor and enough shock arrows?"
182,Npc_ZoraB001_S2_007,キミならやれる！ オレは信じてるゾ！さあ オレの背中に乗ってくれ！,I know you can do it! I believe in you!Now hurry up and get on my back!
183,Npc_ZoraB001_S2_008,"…ん？…ちょっと待ってくれッ！
電気の矢は少なくとも4本はいるゾ！","Hm? Wait a second... You need at least
four shock arrows for this mission!"
184,Npc_ZoraB001_S2_009,"いい返事だゾ！
よし！来い！",Good answer! Let's get going!
185,Npc_ZoraB001_S2_010,"何を言うんだ！全く問題ないゾ！
よし！来い！","What are you talking about?!
We can do this! Let's get going!"
186,Npc_ZoraB001_S2_011,よし！行くゾーッ！！,OK! Here we go!!
187,Npc_ZoraB001_S2_012,水の中なら誰にも負けんゾ！,Ha! I am unstoppable in the water!
188,Npc_ZoraB001_S2_013,"オレは全速力で突っ走る！
チャンスとみたらルッタの滝に突っ込むゾ！","I'll keep going at full speed! It's up to
you to ward off Ruta's attacks!"
189,Npc_ZoraB001_S2_014,"ルッタが こちらに反応している！
いったん離れて攻め入るスキを伺うゾ！","Ruta is responding to our presence!
I'll move away and wait for an opening
before we approach!"
190,Npc_ZoraB001_S2_016,"リンク！東の貯水湖から離れているゾ？
撤退するのか？！","Link! You are leaving the area of
East Reservoir Lake! Do you wish
to retreat for now?!"
191,Npc_ZoraB001_S2_018,さっきは惜しかったな リンク！,"You almost had it, Link!"
192,Npc_ZoraB001_S2_019,"覚えているか！ リンク！
水の神獣の背中を見てくれ！","Do you remember what to do, Link?
Gaze upon the Divine Beast's back!"
193,Npc_ZoraB001_S2_020,リンク！ オレはキミを信じ続けるゾ！さあ もう一度 オレの背中に乗ってくれ！,"Link! I still believe in you!Come on! Get on my back and we shall
try it again!"
194,Npc_ZoraB001_S2_021,…分かった仕切り直すゾ！,"OK... We shall start over when the time
is right!"
195,Npc_ZoraB001_S2_022,"よし…合流するゾ！
こっちに来てくれ！","OK... Let us regroup then!
Come on over!"
196,Npc_ZoraB001_S2_023,"…ちょっと待ってくれッ！
よく見たらゾーラの鎧を着てないじゃないか！","Wait a second... Now that I look closer,
I see that you are not wearing your
Zora armor!"
197,Npc_ZoraB001_S2_024,"…ちょっと待ってくれッ！
どちらも準備できてないじゃないか！","Wait a second... You do not have the
right armor equipped, nor do you
have all of the arrows you need!"
198,Npc_ZoraB001_S2_025,"電気の矢とゾーラの鎧がないと
水の神獣を鎮められないゾ！
急いで
準備を整えて来てくれ！","Unless you have enough shock arrows
and your Zora armor, we cannot possibly
hope to appease the Divine Beast!
Please hurry and gather what you need!"
199,Npc_ZoraB001_S2_026,"…ん？…ちょっと待ってくれッ！
電気の矢を 20本以上持ってないじゃないか！","Hm? Hey, wait a moment! You do not yet
have at least 20 shock arrows!"
200,Npc_ZoraB001_S2_027,"神獣ヴァ・ルッタは
古代の不思議な力を使ってくる！","Are you ready? Divine Beast Vah Ruta
will undoubtedly use its ancient and
mysterious powers against us..."
201,Npc_ZoraB001_S2_028,"氷のようなブロックも古代エネルギーらしい！
対処は キミにまかせたゾ！","That includes hurling giant ice blocks
that we will need to watch out for.
I shall leave those to you!"
202,Npc_ZoraB001_S45_001,"おお！ リンク！
ルッタの中はどうなんだ？
俺はリンクが目的を果たすのを
応援するゾ！
がんばってくれ！","Link! I must ask you something!
What was it like within Ruta?

In any case, I know you still have a job
to do, and I am certain you will succeed.

Give it everything you have, my friend!"
